,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
10,,まもって！ロリポップ,Save Me! Lollipop,,['TV'],13,Finished Airing,"Jul 2, 2006 to Sep 24, 2006",['Summer 2006'],Unknown,['Delfi Sound'],['Funimation'],['Studio Comet'],['Manga'],"['Adventure', 'Comedy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,6.61,#6426,#4544,"26,938",122,13270,"Nina Yamada's greatest dream is to find someone that will protect her in the same way the princesses are in her storybooks. She soon desperately needs that protection: when she swallows a strange pink ball of what she believes to be hard candy, a huge number of people fall from the sky. The ball she swallowed is the Crystal Pearl, a symbolic trinket that magic users from another world fight over. The winner of the Crystal Pearl passes a magic exam that can grant them the prestigious title of professional wizards. Zero and Ichii, two young men taking the exam together, quickly determine that the pearl is inside Nina and promise to protect her until the exam is over. With countless other examinees after the object, their task is daunting—but not as brutal as the embarrassment Nina faces when she arrives at school with two handsome boys at her heels. [Written by MAL Rewrite]","['Adaptation (Manga) Mamotte! Lollipop', '']",Mamotte! Lollipop,,,,['Shoujo'],,
11,"Poor Sisters Story, Flat Broke Sisters",貧乏姉妹物語,,,['TV'],10,Finished Airing,"Jun 30, 2006 to Sep 15, 2006",['Summer 2006'],Fridays at 02:40 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,G - All Ages,6.84,#5117,#4838,"23,133",42,7432,"Without the presence of both their deceased mother and their debt-ridden father, sisters Kyou and Asu Yamada are forced to fend for themselves. Thankfully, they at least have a roof over their heads: a small room in an old apartment spacious enough to fit both of them. However, to make ends meet, the older sister Kyou strives to juggle various part-time jobs—all while making sure that she and her younger sister can continue studying. Despite these hardships, they are not alone. Seemingly blessed with good and kind people around them, Kyou and Asu's lives are far from miserable. Above all else, the two sisters share a precious bond that, no matter what pain, trials, or quarrels may come their way, will always remain unbreakable. [Written by MAL Rewrite]","['Adaptation (Manga) Binbou Shimai Monogatari', '']",Binbou Shimai Monogatari,,,,['Seinen'],['Slice of Life'],
12,Chokotto Sister,ちょこッとSister,,,['TV'],24,Finished Airing,"Jul 12, 2006 to Dec 20, 2006",['Summer 2006'],Unknown,"None found,","None found,",['Nomad'],['Manga'],"['Comedy', 'Drama', 'Romance', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,6.74,#5670,#4909,"22,305",40,8944,"Haruma Kawagoe is an only child. A long time ago, at Christmas time, his mother miscarried the child that was to have been his baby sister. That night, young Haruma knelt down and offered up an earnest prayer: ""Please make my mother well again, and please give me a little sister."" Years have passed, and Haruma has nearly forgotten his prayer. But Santa hasn't.... one Christmas, when Haruma is least expecting it, he gets an unusual present - his sister. (Source: ANN)","['Adaptation (Manga) Chocotto Sister', '']",Chocotto Sister,,,,,,
13,,コヨーテ ラグタイムショー,,,['TV'],12,Finished Airing,"Jul 4, 2006 to Sep 19, 2006",['Summer 2006'],Tuesdays at 01:30 (JST),"['KlockWorx', 'Studio Mausu', 'Toshiba Entertainment']","['ADV Films', 'Funimation']",['ufotable'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.62,#6381,#4938,"21,996",36,9129,"Mister is a ""coyote"" or space faring outlaw who has been sitting in prison for a year for a traffic offense. Ten days from release, he breaks out with the help of his old partners Bishop and Katana. He then seeks out Franka who has been left in his care by her dead father and takes her on a journey to find her father's treasure. On their heels are the federal investigators Angelica and Chelsea as well as the android assassins of the Criminal Guild, Madame Marciano's Twelve Sisters. (Source: ANN)","['Adaptation (Manga) Coyote Ragtime Show', '']",Coyote Ragtime Show,,,['Mecha'],,,
14,Noodle Fighter Miki,無敵看板娘,Ramen Fighter Miki,Ramen Fighter Miki,['TV'],12,Finished Airing,"Jul 5, 2006 to Sep 20, 2006",['Summer 2006'],Wednesdays at 02:00 (JST),"['Yomiuri Telecasting', 'Yomiko Advertising', 'Toshiba Entertainment', 'Geneon Entertainment']",['Media Blasters'],['Telecom Animation Film'],['Manga'],"['Action', 'Comedy']","['Martial Arts', 'Parody', 'Workplace']",24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4075,#4982,"21,624",62,8646,"Miki Onimaru is a poster girl that works at her mother's Chinese ramen restaurant. She appears to be a normal girl, but she can become very violent if provoked. She picks a fight with her mother and accquaintances as a result on an almost daily basis, causing a series of troubling mishaps in their otherwise normal lives. (Source: ANN)","['Adaptation (Manga) Muteki Kanban Musume', '']",Muteki Kanban Musume,Ramen Fighter Miki,Ramen Fighter Miki,,['Shounen'],,
15,Tsuyokiss Cool x Sweet,つよきす,,,['TV'],12,Finished Airing,"Jul 2, 2006 to Sep 17, 2006",['Summer 2006'],Sundays at 02:05 (JST),"['Three Fat Samurai', 'Sol Blade']","None found,","['Trinet Entertainment', 'Studio Hibari']",Visual novel,"['Comedy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,6.52,#6948,#5069,"20,800",22,8088,"Sunao Konoe starts her first day at a new school and is surprised to find that there is no drama club. So, she decides to make one of her own. But between a childhood friend showing up, the crazy student body, and the arrogant student council president blocking her at every turn, it seems that actually creating the club is going to be more difficult than she thought. (Source: ZomgAnime)","['Adaptation (Manga) Tsuyokiss', '']",Tsuyokiss,,,['School'],,,
16,"Koi Suru Tenshi Angelique, Angelique: When the Heart Awakens, Angelique (2006)",恋する天使アンジェリーク　～心のめざめる時～,Loving Angel Angelique: When Hearts Awaken,,['TV'],13,Finished Airing,"Jul 8, 2006 to Sep 30, 2006",['Summer 2006'],Saturdays at 21:30 (JST),"['Lantis', 'Media Factory', 'Kids Station', 'Koei']","None found,",['Satelight'],Visual novel,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.82,#5214,#6141,"12,590",21,4135,"A young girl named Ange is summoned to a Sacred Land and is chosen as the Legendary Etoile, whose mission is to save the newly-born Cosmos of the Holy Beast, which has recently fallen under a crisis. With the support of nine Guardians (who have the power of nine elements), she embarks on a journey to save the dying land of the Holy Beast and to discover her true self. (Source: ANN)","['Sequel (TV) Koisuru Tenshi Angelique: Kagayaki no Ashita', 'Adaptation (Manga) Angelique']",Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,,,['Reverse Harem'],['Shoujo'],,
17,"Fairy Musketeer Akazukin TV, Otogi-Juushi Akazukin",おとぎ銃士 赤ずきん,Fairy Musketeers,Fairy Musketeers,['TV'],39,Finished Airing,"Jul 1, 2006 to Mar 31, 2007",['Summer 2006'],Saturdays at 09:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'Konami Digital Entertainment']","None found,","['Madhouse', 'Group TAC']",Original,"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4689,#7269,"8,406",19,2282,"Long, long ago, there existed a world of magic and science. God, afraid of man's potential, split the world in to the world of science, Elde, and the world of magic, Fandavale. One day in Fandavale, a terrible witch named Cendrillon (Cinderella) revives. Cendrillon plots to rule both worlds, and searches for the ""key"" which holds tremendous power. A young boy from Elde by the name of Sōta meets a mysterious girl from Fandavale, Akazukin, and her talking wolf companion, Val. Sōta learns that he is the key Cendrillon is searching for. Now it is up to Akazukin, Val, and the other Fairy Musketeers to protect Sōta from Cendrillon and her Nightmarelians who wish to obtain the power he mysteriously possesses.","['Adaptation (Manga) Otogi Juushi Akazukin', '']",Otogi Juushi Akazukin,Fairy Musketeers,Fairy Musketeers,,,,
18,,HANOKA～葉ノ香～,,,['TV'],12,Finished Airing,"Aug 8, 2006 to Oct 31, 2006",['Summer 2006'],Unknown,['Fanworks'],"None found,",['RAMS'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,3.41,#13825,#8594,"5,562",18,2500,"Years ago, extraterrestrials known as the Citizens of the Stars descended upon the planet of Tokinea and wreaked havoc on humanity. To fight back against them, the military developed the Majin project to create hybrids between humans and the Citizens of the Stars. With this combination of genes, they hope to exploit both the subservience of man and the powers of the alien. Majin no.7, a young girl kept under lock and key in a military base, is released after the Citizens of the Stars launch an attack. Despite possessing a plethora of abilities capable of effortlessly eliminating the enemy, she is burdened with doubt on the battlefield. However, when a boy named Yuuri tells her that she must fight to earn her freedom, Majin no. 7 is inspired by his courage and defeats the remaining Citizens of the Stars. The two decide to embark on a journey together, determined to find their calling in a time when humanity knows no peace. [Written by MAL Rewrite]",[],Hanoka,,,,,['Sci-Fi'],
19,,Project BLUE 地球SOS,Project Blue Earth SOS,Project Blue Earth SOS,['TV'],6,Finished Airing,"Jul 2, 2006 to Dec 3, 2006",['Summer 2006'],Sundays at 23:00 (JST),"None found,","['ADV Films', 'Funimation']",['A.C.G.T.'],Other,"['Adventure', 'Comedy', 'Sci-Fi']",,45 min. per ep.,PG-13 - Teens 13 or older,6.62,#6414,#9446,"4,231",8,1228,"In this exhilarating series paying homage to classic 50s era science fiction, the disappearance of revolutionary G-Reaction engines is but the beginning of the ghastly end for mankind. While deranged alien forces prepare a fleet of flying saucers to the invasion of all invasions, teenage geniuses Penny Carter and Billy Kimura join forces with a clandestine secret alliance to save humanity from the extra-terrestrial helmet worms and their tentacles of doom! Avoiding alien attacks and dodging disintegration rays won't be easy, but these courageous kids will have help from above as Ace pilot James and his mentor Cpt. Clayton enter the fray to stave off a threat incomprehensible to mere mortals! (Source: DVD)",[],Project BLUE Chikyuu SOS,Project Blue Earth SOS,Project Blue Earth SOS,,,,
20,Gyagu Manga Biyori 2,増田こうすけ劇場 ギャグマンガ日和2,,,['TV'],12,Finished Airing,"Aug 5, 2006 to Oct 21, 2006",['Summer 2006'],Saturdays at 22:30 (JST),"['Bandai Visual', 'SKY Perfect Well Think', 'Kids Station', 'DAX Production']","None found,",['Artland'],['Manga'],,,5 min. per ep.,PG-13 - Teens 13 or older,7.11,#3860,#9984,"3,567",1,1496,"Gyagu Manga Biyori is hyperactive, random, and nonsensical, revolving around various plots and characters throughout the series. It makes absolutely no sense. The 1st episode is about stickers included in snacks (Source: ANN)","['Prequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori', 'Sequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori 3', 'Adaptation (Manga) Masuda Kousuke Gekijou: Gag Manga Biyori', '']",Masuda Kousuke Gekijou: Gag Manga Biyori 2,,,['Gag Humor'],,['Comedy'],
21,Naikaku Kenryoku Hanzai Kyosei Torishimarikan Zaizen Jotaro,内閣権力犯罪強制取締官・財前丈太郎,Government Crime Investigation Agent Zaizen Jotaro,,['TV'],11,Finished Airing,"Jul 6, 2006 to Sep 21, 2006",['Summer 2006'],Thursdays at 02:40 (JST),"['TV Asahi', 'Universal Pictures Japan']","None found,",['Trans Arts'],['Manga'],"['Action', 'Drama', 'Mystery']",,24 min. per ep.,R - 17+ (violence & profanity),5.09,#13113,#11433,"2,312",3,722,Based on Ken Kitashiba & Yasuhiro Watanabe's political intrigue detective manga. The close relationship between political and business circles doesn't die; politicians and government officers line their pockets taking advantage of their positions. Zaizen Jotaro is an investigator who is allowed to use extralegal methods to crack down these power abusing criminals. (Source: AniDB),"['Adaptation (Manga) Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou', '']",Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,,,['Detective'],['Seinen'],,
22,,ななみちゃん 第三期,,,['TV'],16,Finished Airing,"Aug 4, 2006 to Nov 17, 2006",['Summer 2006'],Unknown,['Robot Communications'],"None found,","None found,",Other,,,5 min. per ep.,G - All Ages,6.07,#9538,#15639,681,1,224,"Michi and her family have just moved into the Happiness House, a huge tree with all sorts of little buildings and houses built on and inside of it. Upon exploring what is to be her new bedroom, Michi finds an odd nut-like object. Before long, a strange creature, Nanami-chan, hatches out of it. The two become fast friends. Together, Michi and Nanami-chan learn all kind of new things, and everyday they meet more eccentric residents of the Happiness House. (Source: ANN)","['Prequel (TV) Nanami-chan 2nd Series', 'Sequel (TV) Nanami-chan 4th Series']",Nanami-chan 3rd Series,,,,['Kids'],['Comedy'],
23,"Arari Syo, Surviving in Korea, Arirang, Homey Korean",아라리쇼,The Arari Show,,['TV'],26,Finished Airing,"Aug 31, 2006 to Nov 24, 2006",['Summer 2006'],Unknown,"None found,","None found,","None found,",Unknown,"['Comedy', 'Drama', 'Slice of Life']",,5 min. per ep.,PG - Children,[],#14829,#18808,358,0,,"Enter the Arari Show and meet the host Mr Arari, an over-dynamic showman who really knows how to liven up an audience. Ever wanted to learn more about the culture, language and lifestyle in Korea? Learn some words and phrases? And be amused and entertained at the same time? Come and meet the 3 foreign visitors Michael, Jenny and Lala. See how they cope with being exposed to a culture so very different from their own.",[],The Arari Show,,,,,,
24,,パッタ ポッタ モン太,Going Wild,,['TV'],26,Finished Airing,"Aug 1, 2006 to Jan 30, 2007",['Summer 2006'],Unknown,['Tokyo Kids'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,[],#20993,#18895,352,2,,Three monkey brothers from the from an urban city go to live in the countryside. There's no convenience store nor arcades there; truly bare-bones. The story follows their daily lives trying to make friends and have fun amongst the villagers.,[],Patta Potta Monta,,,,['Kids'],,
25,Wa-Wa-Wa Wappi-chan,和・和・和 ワッピちゃん,,,['TV'],26,Finished Airing,"Jul 3, 2006 to Oct 2006",['Summer 2006'],Unknown,['WOWOW'],"None found,","None found,",Original,,,30 min. per ep.,G - All Ages,[],#15201,#19844,295,0,,"In a world where past and future connect, cute little catgirl Wappi-chan learns the meaning of Japanese culture by interacting with the strange beings and spirits who inhabit Watt Warp Town. (Source: The Anime Encyclopedia)","['Sequel (TV) Wa Wa Wa Wappi-chan 2nd Season', '']",Wa Wa Wa Wappi-chan,,,,['Kids'],,
26,Aepeulkaendigeol,애플캔디걸,,,['TV'],39,Finished Airing,"Jul 15, 2006 to Apr 14, 2007",['Summer 2006'],Unknown,"None found,","None found,","None found,",Original,,,Unknown,PG - Children,[],#16625,#21812,186,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Apple Candy Girl,,,,['Kids'],,
27,Toli Go! Go!,토리 GO! GO!,,,['TV'],17,Finished Airing,"Jul 25, 2006 to Nov 28, 2006",['Summer 2006'],Unknown,"None found,","None found,","None found,",['Manga'],"['Comedy', 'Slice of Life']",,24 min. per ep.,PG - Children,[],#14992,#21976,177,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tori Go! Go!,,,,['Kids'],,
