,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Theme,Genre,Demographics
10,The doctor for monster girls.,モンスター娘のお医者さん,Monster Girl Doctor,['TV'],12,Finished Airing,"Jul 12, 2020 to Sep 27, 2020",['Summer 2020'],Sundays at 23:00 (JST),"['Hakuhodo DY Music & Pictures', 'Bandai Namco Arts']",['Sentai Filmworks'],['Arvo Animation'],['Light novel'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Anthropomorphic', 'Harem', 'Medical']",24 min. per ep.,PG-13 - Teens 13 or older,6.53,#6903,#1106,"233,776",460,106357,"After years of conflict, humans and monsters have settled their differences and are now at peace. This post-war era led to the foundation of Lindworm—a town which has since become the focal point of racial harmony. As a human doctor specializing in monster biology, Glenn Litbeit runs a small clinic alongside his partner, Saphentite Neikes, who is a half-snake monster known as a lamia. He uses his knowledge to tend to any monsters who seek his aid. Whatever affliction, concern, or injury it may be, he will always be there, ready to help. [Written by MAL Rewrite]","['Adaptation (Manga) Monster Musume no Oishasan', 'Adaptation (Light Novel) Monster Musume no Oishasan']",Monster Musume no Oishasan,Monster Girl Doctor,Monster Girl Doctor,Monster Girl Doctor,,,,
11,,ピーター・グリルと賢者の時間,Peter Grill and the Philosopher's Time,['TV'],12,Finished Airing,"Jul 11, 2020 to Sep 26, 2020",['Summer 2020'],Saturdays at 01:35 (JST),"None found,",['Sentai Filmworks'],['Wolfsbane'],['Manga'],"['Comedy', 'Fantasy', 'Erotica']",,12 min. per ep.,R+ - Mild Nudity,5.52,N/A,#1207,"213,213",779,94365,"After gaining the title of the strongest warrior in the world, Peter Grill has finally proven his worth and is ready to take the hand of his beloved senior, the beautiful and innocent Luvelia Sanctos. Peter expects to have a healthy relationship with her, despite some objections from her father. Unfortunately, this dream quickly breaks apart as news of his grand victory spreads among the womenfolk of other races—ogres, orcs, elves, and others—some of them even vying for his seed to produce offspring blessed with his might. To avoid betraying the trust of his cherished Luvelia and causing a scandal, Peter strives to avoid other women's salacious advances. However, accomplishing such a feat with so many alluring women on his trail is easier said than done. [Written by MAL Rewrite]","['Sequel (TV) Peter Grill to Kenja no Jikan: Super Extra', 'Adaptation (Manga) Peter Grill to Kenja no Jikan']",Peter Grill to Kenja no Jikan,Peter Grill and the Philosopher's Time,Peter Grill and the Philosopher's Time,Peter Grill and the Philosopher's Time,,['Harem'],,
12,,ド級編隊エグゼロス,SUPER HXEROS,['TV'],12,Finished Airing,"Jul 4, 2020 to Sep 26, 2020",['Summer 2020'],Saturdays at 00:00 (JST),"['Aniplex', 'AT-X', 'Studio Mausu', 'Toranoana', 'Tokyo MX', 'Q-Tec', 'Shueisha', 'BS11', 'Contents Seed', 'Global Solutions']",['Aniplex of America'],['Project No.9'],['Manga'],"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'School']",23 min. per ep.,R+ - Mild Nudity,5.75,#11134,#1629,"151,172",273,57666,"Five years ago, alien beings known as the ""Kiseichuu'' invaded the world. With the species endangered, the Kiseichuu are determined to take over Earth through a deadly plan that would gradually wipe out the human race: take away humanity's sexual drive using various methods, letting them die out. In response to the Kiseichuus' scheme, the HxEros device was developed—a powerful weapon that only those with high levels of erotic energy can utilize at its maximum capacity. Retto Enjou, a high schooler harboring an immense hatred toward the Kiseichuu, joins a group of HxEros users to fight against them and protect humankind. With their gear reliant on erotic energy as a source of power, the team must work together to maintain high levels of libido to ensure their readiness for combat at any given time. Moreover, as he lives in a house full of lustful girls, Enjou should not expect a shortage of power anytime soon. [Written by MAL Rewrite]","['Adaptation (Manga) Dokyuu Hentai HxEros', '']",Dokyuu Hentai HxEros,,,,['Shounen'],,,
13,,ノー・ガンズ・ライフ,No Guns Life Season 2,['TV'],12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",['Summer 2020'],Fridays at 01:28 (JST),"['Sony Pictures Entertainment', 'TBS', 'AT-X', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Good Smile Film']",['Funimation'],['Madhouse'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4014,#2466,"83,826",88,32136,"Picking up where season one left off, Juzo Inui (Gun Slave Unit Device 13) has Rosa's data. Although it seems like everyone wants it, either to expose it or to destroy it, really no one is interested in it. Wachowski, the leader of the anti-Extended terrorist organization Spitzbergen, attempts to coerce Tetsurō to use Harmony to command Juzo to destroy Gun Slave Unit Device 7, who works for Berühren. Juzo does eventually fight Seven, but -- between corruption and double-crosses -- Berühren still pulls all the strings. (Source: ANN)","['Prequel (TV) No Guns Life', 'Adaptation (Manga) No Guns Life']",No Guns Life 2nd Season,,,,['Seinen'],,,
14,,ジビエート,,['TV'],12,Finished Airing,"Jul 15, 2020 to Sep 30, 2020",['Summer 2020'],Wednesdays at 22:00 (JST),"['Nexon', 'Age Global Networks', 'Forecast Communications', 'Crunchyroll']",['Anime Limited'],"['Studio Elle', 'l-a-unch・BOX']",Original,"['Action', 'Fantasy', 'Horror', 'Sci-Fi']","['Martial Arts', 'Samurai']",24 min. per ep.,R - 17+ (violence & profanity),3.82,#13740,#2774,"69,270",63,24311,"The story takes place in Japan. The year is 2030 and Earth has been completely overrun by a viral disease named ""Gibia"" that turns infected people into various different monsters, based on their age, sex, and race. A samurai and a ninja from the early Edo period travel together through time and arrive in a ruined Japan to aid a professor working on a cure for the virus. Together, they fight countless Gibia monsters, outlaws, and other fierce foes on their journey to save mankind.",[],Gibiate,,,,,,,
15,Love and Producer,恋とプロデューサー~EVOL×LOVE~,Mr Love: Queen's Choice,['TV'],12,Finished Airing,"Jul 16, 2020 to Oct 1, 2020",['Summer 2020'],Thursdays at 00:00 (JST),"None found,",['Anime Limited'],['MAPPA'],Game,"['Mystery', 'Romance', 'Sci-Fi']","['Reverse Harem', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,6.19,#8863,#2880,"64,744",284,19039,"After her father passed away, a young woman inherited his production company, Miracle Entertainment, along with its most successful program, ""Miracle Finder."" In recent years, however, the show has fallen off the radar and it is now mostly forgotten. In an attempt to save the show from being canceled, this young woman desperately tries to look for a unique topic to use as inspiration. She finds it in the form of ""Evol,"" a mysterious gene that has granted certain people special powers and is considered the next step in human evolution. But, as marvelous as this gene seems, its existence may lead to an unstoppable battle between humans for survival. However, as she becomes more entangled with the strange world of the ""Evolvers,"" her life is suddenly disturbed by the arrival of four men: the cheerful idol Kira; the neuroscientist and Loveland University professor, Simon; the stoic CEO of Loveland Financial Group and Miracle Entertainment's benefactor, Zen; and her high school upperclassman Haku, a former delinquent now working as a police officer. As strange incidents begin to plague the city, will she be able to find out the truth about the ""Evol"" or ""Black Swan,"" the organization behind numerous attacks from ""Evolvers"" and possibly connected to her father's death? What is her part to play in its plan, and how are the men around her connected to it all? [Written by MAL Rewrite]",[],Koi to Producer: EVOL×LOVE,Mr Love: Queen's Choice,Mr Love: Queen's Choice,Mr Love: Queen's Choice,,,,
16,,ラピスリライツ,,['TV'],12,Finished Airing,"Jul 4, 2020 to Sep 19, 2020",['Summer 2020'],Saturdays at 22:00 (JST),"['Studio Mausu', 'NBCUniversal Entertainment Japan', 'Kadokawa', 'JY Animation', 'KLab', 'Legs']",['Funimation'],['Yokohama Animation Laboratory'],Mixed media,,"['Idols (Female)', 'Music', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.65,#6198,#3355,"48,351",141,16963,"Tiara, a princess from the kingdom of Waleland, travels to the city of Mamkestell to attend a prestigious academy for those who practice magic like herself. After passing a test to prove her eligibility, Tiara reunites with her childhood friend Rosetta, who is also a student there. She then joins and meets Rosetta's group: the athletic Lavie, the reliable Ashley, and the bookish Lynette—all of whom Tiara quickly befriends. In this institution, students are placed into one of three ranks based on their test score: group Noir being the highest, followed by Rouge and Lapis. Tiara's group is ranked Lapis, and if that was not enough, those who fail while ranked Lapis face expulsion. Realizing their dire situation, Tiara urges everyone to start taking their activities more seriously. On top of this, Tiara has one more purpose for excelling at the academy: to become more like her elder sister, who is a very skilled singer. However, to reach the stage that she desires, she will have to overcome many challenges, along with her companions, as she continues her magical journey. [Written by MAL Rewrite]","['Adaptation (Manga) Lapis Re:LiGHTs', '']",Lapis Re:LiGHTs,,,,,,['Fantasy'],
17,,ムヒョとロージーの魔法律相談事務所 2期,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,['TV'],12,Finished Airing,"Jul 7, 2020 to Sep 22, 2020",['Summer 2020'],Tuesdays at 19:00 (JST),"['Lantis', 'Animax', 'Bridge', 'Asmik Ace', 'Amusement Media Academy', 'Bandai Namco Arts', 'SKY PerfecTV!', 'A3']",['Funimation'],['Studio Deen'],['Manga'],"['Mystery', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4760,#4496,"27,242",43,7110,Second season of Muhyo to Rouji no Mahouritsu Soudan Jimusho.,"['Prequel (TV) Muhyo to Rouji no Mahouritsu Soudan Jimusho', 'Adaptation (Manga) Muhyo to Rouji no Mahouritsu Soudan Jimusho']",Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,,,,['Shounen'],['Mythology'],,
18,Uma Yon,うまよん,,['TV'],12,Finished Airing,"Jul 7, 2020 to Sep 22, 2020",['Summer 2020'],Tuesdays at 21:54 (JST),['Cygames'],"None found,","['W-Toon Studio', 'DMM.futureworks']",['4-koma manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,6.36,#7939,#5336,"17,970",12,7859,"It's a ""pop"" and cute everyday anime based on the 4-koma manga featuring the characters from Uma Musume: Pretty Derby.",[],Umayon,,,,,['Anthropomorphic'],['Comedy'],
19,,忍者コレクション,,['TV'],13,Finished Airing,"Jul 13, 2020 to Oct 26, 2020",['Summer 2020'],Mondays at 03:05 (JST),"['TV Tokyo', 'TV Tokyo Music']","None found,","['ILCA', 'DRAWIZ', 'Toho Interactive Animation']",Original,"['Horror', 'Supernatural']",,4 min. per ep.,PG-13 - Teens 13 or older,3.81,#13741,#5411,"17,364",25,5373,"Set in modern-day Tokyo where dreams and desires are afloat, a group of ninjas called ""Toukeshuu"" is set to stop the spread of ""darkness"" that prevails in the world using ancient techniques passed down through generations. (Source: MAL News)",[],Ninja Collection,,,,,,,
20,,超普通都市カシワ伝説R,,['TV'],10,Finished Airing,"Jul 6, 2020 to Sep 28, 2020",['Summer 2020'],Mondays at 21:55 (JST),"None found,","None found,",['Super Normal Studio'],Other,"['Comedy', 'Fantasy']",,5 min. per ep.,None,4.51,#13603,#8685,"5,344",4,834,"A gag anime set in Kashiwa, featuring high school girls and mysterious creatures. (Source: Chou Futsuu Toshi Kashiwa Densetsu Wiki)","['Prequel (ONA) Chou Futsuu Toshi Kashiwa Densetsu Z', 'Sequel (TV) Chou Futsuu Ken Chiba Densetsu']",Chou Futsuu Toshi Kashiwa Densetsu R,,,,,,,
