,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,German,Spanish,Demographics,French
30,,ばいばい、アース,"Bye Bye, Earth",['TV'],10,Finished Airing,"Jul 12, 2024 to Sep 13, 2024",['Summer 2024'],Fridays at 23:30 (JST),"['Sony Pictures Entertainment', 'WOWOW', 'Crunchyroll', 'IRMA LA DOUCE']","None found,",['LIDENFILMS'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.06,#9603,#3053,"58,409",126,17000,"In a society of people with animal characteristics, Belle Lablac stands out as the only person with no animal features at all. Curious of her origins, Belle leaves her hometown and heads to the city of Schubertland to be awarded the status of Nomad by Schubertland's ruler, King Rawhide. Through the journey, she is trained by the legendary swordsman Sian Lablac. Unfortunately for Belle, through a complication, she is unable to hurt others with her legendary sword Runding. The only choice to best her opponents in battle now is to break their swords, which is heavily looked down upon. Though ostracized for her appearance and hated for her disregard of societal norms, Belle stays resolute as she sets off on a perilous journey to find her rightful place in the world. [Written by MAL Rewrite]","['Sequel (TV) Bye Bye, Earth 2nd Season', 'Adaptation (Light Novel) Bye-Bye, Earth']","Bye Bye, Earth","['Action', 'Adventure', 'Fantasy']",['Anthropomorphic'],,,,
31,Bokutsuma,僕の妻は感情がない,My Wife Has No Emotion,['TV'],12,Finished Airing,"Jul 2, 2024 to Sep 17, 2024",['Summer 2024'],Tuesdays at 23:00 (JST),"['TMS Entertainment', 'Mainichi Broadcasting System', 'Half H.P Studio', 'Nikkatsu', '81 Produce', 'Tokyo MX', 'RAY', 'Nichion', 'Kadokawa', 'BS Asahi']","None found,",['Tezuka Productions'],['Manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.77,#5489,#3073,"57,573",219,21330,"Takuma Kosugi is an office worker who does not have enough time to take care of everything at home. To make his daily life easier, he purchases a secondhand housekeeping robot named Mina, who quickly proves her worth. One day, after returning from work and having one too many beers, Takuma somewhat jokingly blurts out that she should become his wife! Much to his surprise, Mina takes his words seriously, and the two gradually begin living as if they are married. As the days go by, Takuma and Mina grow closer and start doing more activities together, like going on a picnic and spending a day at the beach. However, much of society still considers human-robot relationships unusual. The couple must figure out if their arrangement can succeed and how to convince the people around them of their sincerity. [Written by MAL Rewrite]","['Adaptation (Manga) Boku no Tsuma wa Kanjou ga Nai', '']",Boku no Tsuma wa Kanjou ga Nai,"['Comedy', 'Romance', 'Sci-Fi']",,,,,
32,"Midnight Punch, MayoPan",真夜中ぱんチ,Mayonaka Punch,['TV'],12,Finished Airing,"Jul 8, 2024 to Sep 23, 2024",['Summer 2024'],Mondays at 22:30 (JST),"['Movic', 'AT-X', 'Docomo Anime Store', 'Kadokawa', 'dugout', 'Heart Company']","None found,",['P.A. Works'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.36,#2518,#3294,"50,635",209,17045,"Masaki's career on NewTube ends abruptly when the Harikiri Sisters decide to kick her out of their group during a livestream. With her bad reputation, Masaki has a slim chance of returning to popularity with a solo channel and she is plagued by comments of hate. Masaki soon meets Live, a vampire who just woke up from her slumber in which she dreamed of Masaki and developed an obsession with her. Believing this discovery will be the next internet sensation, Masaki forms a pact with Live: in exchange for Masaki's blood, Live will help her reach the milestone of a million subscribers. Now, with the other vampires in Live's house on board with Masaki's ambitious plan, she and Live work together to film videos and restore her to career glory. [Written by MAL Rewrite]","['Adaptation (Manga) Mayonaka Punch', '']",Mayonaka Punch,"['Comedy', 'Supernatural']",['Vampire'],,,,
33,,デリコズ・ナーサリー,Delico's Nursery,['TV'],13,Finished Airing,"Aug 8, 2024 to Nov 28, 2024",['Summer 2024'],Thursdays at 00:30 (JST),"['Aniplex', 'Magic Capsule', 'Tokyo MX', 'BS11', 'Contents Seed', 'Watanabe Entertainment']","None found,",['J.C.Staff'],Other,,"['Childcare', 'Vampire']",,23 min. per ep.,PG-13 - Teens 13 or older,6.80,#5333,#3344,"49,212",248,10119,"A scourge has descended upon vampire society in the form of serial murders. The killings appear unrelated at first glance, but every crime scene has one thing in common: a card left behind, bearing the words ""True of Vamp""—the name given to the legendary progenitor of all vampires. The Vlad Agency, a secret intelligence operation, summons the renowned aristocrat Dali Delico to lead the task force investigating the murders. However, Dali refuses, choosing to focus on raising his children. His old colleagues—Gerhard Fra, Henrique Lorca, and Dino Classico—plead with him to balance his duty to the agency with child-rearing. He agrees on one condition: the other three men must also care for their children during the investigation. Dali's estate therefore becomes a nursery and the base of operations for the four noble vampires. Meanwhile, a criminal organization Dali knows all too well lurks in the shadows with evil intentions that threaten to cause the collapse of the entire vampire society. [Written by MAL Rewrite]",[],Delico's Nursery,"['Fantasy', 'Mystery']",,,,,
34,,黄昏アウトフォーカス,Twilight Out of Focus,['TV'],12,Finished Airing,"Jul 4, 2024 to Sep 19, 2024",['Summer 2024'],Thursdays at 23:30 (JST),"['Sotsu', 'Kodansha', 'Movic', 'BS Fuji', 'Ai Addiction', 'Crunchyroll', 'AQUA ARIS']","None found,",['Studio Deen'],['Manga'],['Boys Love'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.47,#2089,#3378,"48,055",418,14715,"Despite a rocky start to their relationship, second-year high school students Mao Tsuchiya and Hisashi Ootomo have managed to find a way to coexist in their dorm room for another year. The roommates swear to abide by three simple promises: Mao must refrain from outing Ootomo as gay and having a boyfriend; Ootomo, in turn, must not fall in love with Mao; and the two must respect each other's privacy when one of them ""needs time to himself."" While these are simple asks, the school's film club's new project suddenly puts them at risk. The club's short film for the year is a boys' love story between a class president and a delinquent—a role for which Ootomo is considered the perfect fit. As the principal photographer in charge of composing every scene, Mao oversees all of the intimate moments between the leads, and though he wishes he could deny it, his growing attraction to his roommate is affecting the movie's production. But as things start to intensify—both in the film and in his personal life—Mao is soon forced to confront these complex emotions head-on. [Written by MAL Rewrite]","['Adaptation (Manga) Tasogare Out Focus', 'Adaptation (Manga) Tasogare Out Focus: Overlap', 'Adaptation (Manga) Zanzou Slow Motion', 'Adaptation (Manga) Yoiyoi Monologue']",Tasogare Out Focus,,['School'],,,,
35,Konofuka,この世界は不完全すぎる,Quality Assurance in Another World,['TV'],13,Finished Airing,"Jul 6, 2024 to Sep 28, 2024",['Summer 2024'],Saturdays at 02:23 (JST),"['Lantis', 'Mainichi Broadcasting System', 'Kodansha', 'Delfi Sound', 'Crunchyroll', 'Bandai Namco Filmworks', 'Bandai Namco Music Live', 'Hike']","None found,","['Studio Palette', '100studio']",['Web manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.54,#6836,#3436,"46,698",63,15823,"Nikola is just a village girl working at the inn...until the day dragons invade, and she meets Haga, a scholar of everything around him. He's a part of an elite society called ""Seeker,"" created to address a series of maladies plaguing their usually peaceful world. But both Nikola and Haga have secrets they hide...ones that will change each other's very existence... (Source: Kodansha USA)","['Adaptation (Manga) Kono Sekai wa Fukanzen Sugiru', '']",Kono Sekai wa Fukanzen Sugiru,"['Adventure', 'Fantasy']",['Video Game'],,,,
36,"Elyase, Elf can't be on a diet.",エルフさんは痩せられない。,Plus-Sized Elf,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 01:30 (JST),"['KlockWorx', 'King Records', 'Akita Shoten', 'WWWave', 'SHINE Partners']",['Sentai Filmworks'],['Elias'],['Web manga'],,,,12 min. per ep.,R+ - Mild Nudity,5.60,#11793,#3529,"44,832",185,14634,"Tomoatsu Naoe leads an ordinary life working as a massage therapist, but this changes when he encounters a peculiar client named Erufuda. During her visit, Naoe discovers her secret: she is actually an elf! After leaving her world, Erufuda fell in love with junk food and now cannot return home because of her weight gain. Naoe decides to help the elf with dieting so that she can eventually go back to her world. Although Erufuda puts in the work and reaches her goal, it does not take long for Naoe to stumble upon her again—and she has regained the lost pounds. As Naoe continues to give her advice, the two begin encountering other people from another world, all with the same desire to lose weight. [Written by MAL Rewrite]","['Sequel (ONA) Elf-san wa Yaserarenai.: Hami Niku no Shima/Calorie Lovers', 'Adaptation (Manga) Elf-san wa Yaserarenai.']",Elf-san wa Yaserarenai.,"['Comedy', 'Fantasy', 'Ecchi']",,,,,
37,,ダンジョンの中のひと,Dungeon People,['TV'],12,Finished Airing,"Jul 6, 2024 to Sep 28, 2024",['Summer 2024'],Saturdays at 01:53 (JST),"['Mainichi Broadcasting System', 'Nikkatsu', 'Hakuhodo DY Music & Pictures', 'Futabasha', 'Bushiroad Move', ""U's Music""]",['Sentai Filmworks'],['OLM'],['Web manga'],,,,24 min. per ep.,PG-13 - Teens 13 or older,7.11,#3853,#3565,"44,030",97,16513,"For the last three years, Clay has undergone rigorous training in order to find her father, who was last seen exploring a dungeon. While dungeon exploring is difficult for any regular adventurer, Clay knows her father, a thief who doesn't purely rely on raw power or magic, managed to progress farther than anyone else. Clay sets off after him, following in his footsteps until she encounters a furnished room behind a dungeon wall. Clay is shocked to find the room is filled with monsters that can talk and a girl who claims to be the dungeons administrator. However, the room is meant to be kept hidden from explorers. Now that she knows the secret behind the dungeon, Clay is hired to be part of their staff. While she never expected to find a job in her adventure, doing so may just help Clay unravel the mystery behind her father's disappearance. [Written by MAL Rewrite]","['Adaptation (Manga) Dungeon no Naka no Hito', '']",Dungeon no Naka no Hito,"['Adventure', 'Comedy', 'Fantasy']",,,,,
38,,菜なれ花なれ,Narenare -Cheer for You!-,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 23:45 (JST),"['TV Tokyo', 'DMM.com', 'NetEase', 'AmiAmi']","None found,",['P.A. Works'],Original,['Drama'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7835,#4263,"30,525",74,8964,"In any competitive cheerleading contest, it is almost certain that Kanata Misora is going to be the star of the show. As a member of the winning squad in Japan's middle school cheerleading nationals, she joins Takanozaki Prefectural High School with her friend Megumi Kaionji intending to seek glory once more. However, following an incident at a competition, she loses touch with her talents and never returns to the club for practice. While despondent, Kanata ends up spotting internet sensation Suzuha Obunai parkouring with an impressive level of athleticism and ends up befriending her in the process. Through Suzuha, Kanata meets Anna Aveiro and Nodoka Ootani, as well as Suzuha's classmate Tanizaki Shion—each carrying their own talents that apply to competitive cheerleading. Gathering through sheer coincidence, the six girls now work together and cheer each other on to chase their unique dreams. [Written by MAL Rewrite]",[],Na Nare Hana Nare,,,,,,
39,"Shy: Tokyo Dakkan-hen, Shy: Tokyo Recapture Arc",シャイ 東京奪還編,Shy Season 2,['TV'],12,Finished Airing,"Jul 2, 2024 to Sep 24, 2024",['Summer 2024'],Tuesdays at 00:00 (JST),"['TV Tokyo', 'Bandai', 'Akita Shoten', 'ADK Marketing Solutions', 'Bandai Namco Filmworks', 'Bandai Namco Music Live', 'Yostar']","None found,",['8bit'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.92,#4717,#4439,"28,116",67,9104,"After her battle against the mysterious organization Amarariruku, Teru Momijiyama returns to her regular life in Tokyo—all while secretly continuing to save people as Japan's hero Shy. As a result of her experiences with others, Teru is able to slowly gain confidence in herself. While she still has a long way to go, Teru continues to make progress towards learning what being a hero truly means. While walking around the city after school, Teru runs into Ai Tennouji, whom she quickly befriends and begins to open up toward. Teru quickly learns more about her new friend’s past—she has run away from her village in search of something directly related to Teru's work as Shy. While the threat of Amarariruku continues to loom over her,Teru must decide how closely she is willing to work with the mysterious Ai. [Written by MAL Rewrite]","['Prequel (TV) Shy', 'Adaptation (Manga) Shy']",Shy 2nd Season,"['Action', 'Drama']",['Super Power'],,,,
40,"Sengoku Youko Part 2, Sengoku Youko: The Thousandfold Chaos Arc",戦国妖狐 千魔混沌編,Sengoku Youko 2nd Season,['TV'],22,Finished Airing,"Jul 18, 2024 to Dec 26, 2024",['Summer 2024'],Thursdays at 00:00 (JST),"['Nippon Animation', 'Nagoya Broadcasting Network', 'Crunchyroll', 'ABC Animation', 'FuRyu', 'Mixer', 'NetEase', 'BS Asahi', 'Bandai Namco Music Live', 'ABC Frontier']","None found,",['White Fox'],['Manga'],,"['Historical', 'Mythology']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.59,#1622,#4723,"24,405",85,6915,"The chaotic aftermath of a confrontation between Jinka Yamato and Yazen results in the power dynamics between the magically gifted katawara and humans being turned upside down. As the news of the downfall of dangaishu—the katawara-hunting monks led by Yazen—spreads across the country, rogue groups of katawara start to form, worsening the already-fragile relationship between them and humanity. Having lost faith in his abilities, Shinsuke Hyoudou now spends his time heavily drinking in the company of Senya, a former enemy of his who controls one thousand katawara within his body. Senya indirectly causes the death of the father of Tsukiko, his newfound friend, after a surprise attack of a local god gone berserk. Despite the circumstances, Tsukiko holds no grudge against Senya and is determined to become Shinsuke's disciple no matter what. Although Shinsuke refuses to become Tsukiko's sword instructor, he reluctantly agrees to let her travel with him and Senya. While the unlikely trio heads towards their next destination, Tama Youko continues her journey to find the trail of Jinka, the nine-tailed fox who has the power to destroy the world. [Written by MAL Rewrite]","['Prequel (TV) Sengoku Youko: Yonaoshi Kyoudai-hen', 'Prequel (TV Special) Sengoku Youko: Yonaoshi Kyoudai-hen Recap', 'Adaptation (Manga) Sengoku Youko', '']",Sengoku Youko: Senma Konton-hen,"['Action', 'Adventure', 'Fantasy']",,,,,
41,,多数欠,Tasuketsu: Fate of the Majority,['TV'],24,Finished Airing,"Jul 3, 2024 to Dec 25, 2024",['Summer 2024'],Wednesdays at 01:59 (JST),"['VAP', 'Nippon Television Network', 'Nippon Television Music', 'BS NTV', 'Marui Group', 'COMICSMART', 'NetEase', 'Team Kawadon']","None found,",['Satelight'],['Web manga'],,"['High Stakes Game', 'Psychological']",,22 min. per ep.,PG-13 - Teens 13 or older,5.56,#11934,#4839,"23,047",43,6571,"During his school computer class, Saneatsu Narita is presented with a strange screen posing a yes-or-no question that quickly disappears. The next day, Saneatsu wakes up to a world where everyone, save for himself and a few others, is dead. An announcement from a mysterious figure known only as the Emperor begins to shed light on the situation. The question that Saneatsu saw on the screen is part of a game called Tasuuketsu. Every day, the survivors will see a question appear on a screen, and answering it will determine who lives to see the next day. Responding the same as the majority will guarantee death, and the last player standing will earn the right to meet the Emperor. Saneatsu resolves to beat the Emperor at their own game, making use of the hidden envelopes containing powers that can aid the players. With the help of his small group of friends, Saneatsu must avoid falling into the machinations of the other players and win this wicked game. [Written by MAL Rewrite]","['Adaptation (Manga) Tasuuketsu', '']",Tasuuketsu,"['Action', 'Drama', 'Suspense']",,,,,
42,,天穂のサクナヒメ,Sakuna: Of Rice and Ruin,['TV'],13,Finished Airing,"Jul 6, 2024 to Sep 28, 2024",['Summer 2024'],Saturdays at 23:00 (JST),"['TV Tokyo', 'TOHO animation', 'Qrout']","None found,",['P.A. Works'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.74,#5654,#5288,"18,616",31,6301,"Spoiled harvest goddess Sakuna finds herself banished from her opulent celestial home to an island overrun with demons. In the untamed wilderness, she must rediscover her birthright as the daughter of a warrior god and harvest goddess by weathering the elements, fighting monsters, and cultivating rice, the source of her power. By her side in this forbidding place is her guardian Tama and a group of outcast humans. Together, these unlikely companions must join hands to tame both the soil and the demons of Hinoe Island. (Source: Steam)","['Sequel (Unknown) Tensui no Sakuna-hime (Zoku-hen)', '']",Tensui no Sakuna-hime,"['Action', 'Fantasy']",['Mythology'],,,,
43,Red Cat Ramen,ラーメン赤猫,Ramen Akaneko,['TV'],12,Finished Airing,"Jul 4, 2024 to Sep 19, 2024",['Summer 2024'],Thursdays at 23:56 (JST),"['TBS', 'Movic', 'GAGA', 'Tohokushinsha Film Corporation', 'Bushiroad', 'Good Smile Company', 'Legs']","None found,",['E&H Production'],['Manga'],['Comedy'],"['Anthropomorphic', 'Workplace']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2502,#5733,"15,047",84,5258,"Meet Tamako, who's found her way into an interview at a ramen shop run solely by cats. When the feline manager asks if she likes cats, Tamako admits that she's actually more of a dog person...only to be hired on the spot! But her job description isn't quite what she expects — rather than serving ramen, she's now a dedicated cat caretaker...?! (Source: MANGA Plus)","['Sequel (TV) Ramen Akaneko 2nd Season', 'Adaptation (Manga) Ramen Akaneko']",Ramen Akaneko,,,,,,
44,Head Start at Birth,0歳児スタートダッシュ物語,0 Years Old Child Starting Dash Story,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 17:55 (JST),"None found,","None found,","None found,",['Manga'],,"['Isekai', 'Reincarnation']",,2 min. per ep.,PG-13 - Teens 13 or older,5.38,#12491,#6527,"10,821",23,1937,"Lilia, the newborn daughter of a marquis, has the memories of her previous life! With cheat-like gamer knowledge she aims to become the strongest girl in this new ""other world""! (Source: Shusuisha)","['Sequel (TV) 0-saiji Start Dash Monogatari Season 2', 'Adaptation (Manga) 0-saiji Start Dash Monogatari']",0-saiji Start Dash Monogatari,"['Adventure', 'Fantasy']",,,,,
45,,グレンダイザーU,,['TV'],13,Finished Airing,"Jul 6, 2024 to Sep 28, 2024",['Summer 2024'],Saturdays at 01:23 (JST),"['Pony Canyon', 'Dynamic Planning']","None found,",['Gaina'],['Manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,5.85,#10673,#7457,"7,784",35,1840,"Duke Fleed is a survivor of the Fleed Planet who has escaped to Earth. Onboard a mysterious ""spaceship,"" he is raised by Dr. Umon as his adoptive son, and becomes known as Daisuke Umon. Years after his arrival, he's faced with the threat of King Vega and his army, who want to conquer the Earth. With his friends Koji and Hikaru and later his younger sister Maria Grace, Duke decides to fight back using his best weapon - the almighty Grendizer.","['Adaptation (Manga) UFO Robo Grendizer', 'Adaptation (Manga) Grendizer U: The Inception']",Grendizer U,"['Action', 'Sci-Fi']",['Mecha'],,,,
46,"Muscleman, Musculman",キン肉マン 完璧超人始祖編,Kinnikuman: Perfect Origin Arc,['TV'],11,Finished Airing,"Jul 14, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 23:30 (JST),"['Toei Animation', 'Pony Canyon', 'Shueisha', 'BS11', 'ADK Emotions']","None found,",['Production I.G'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.81,#5291,#7429,"7,839",34,1588,"Following an epic series of fierce fights between various factions of Choujin—beings blessed with supernatural physical abilities that hail from all corners of the galaxy—the former enemies of Seigi Choujin, the victorious group, negotiate a fragile ceasefire. However, peace is short-lived, and a group of seven Perfect Choujin—led by Strong the Budo and called the Perfect Large Numbers—invade Japan, defeating several Seigi Choujin and burning the peace treaty. Determined to protect peace at all costs, Terryman, the current leader of the Seigi Choujin, challenges the seven Perfect Large Numbers in a tournament for supremacy. Although the odds are not in his favor, Terryman knows that he can count on the top Seigi Choujin, Suguru Kinnikuman, to see justice prevail. [Written by MAL Rewrite]","['Prequel (TV) Kinnikuman: Kinnikusei Oui Soudatsu-hen', 'Prequel (TV Special) Kinnikuman: Kanpeki Chоujin Shiso-hen Episode 0', 'Sequel (TV) Kinnikuman: Kanpeki Chоujin Shiso-hen Season 2', 'Adaptation (Manga) Kinnikuman']",Kinnikuman: Kanpeki Chоujin Shiso-hen,"['Comedy', 'Sports']",['Combat Sports'],,,,
47,"Yamishibai: Japanese Ghost Stories Thirteenth Season, Yamishibai: Japanese Ghost Stories 13",闇芝居 十三期,Theatre of Darkness: Yamishibai 13,['TV'],13,Finished Airing,"Jul 15, 2024 to Oct 7, 2024",['Summer 2024'],Mondays at 02:50 (JST),"None found,","None found,","['ILCA', 'ILCASHIPS']",Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,6.04,#9727,#9528,"4,091",15,1485,Thirteenth season of Yami Shibai.,"['Prequel (TV) Yami Shibai 12', 'Sequel (TV) Yami Shibai 14']",Yami Shibai 13,"['Avant Garde', 'Horror', 'Supernatural']",,,,,
48,,カードファイト!! ヴァンガード Divinez Season2,Cardfight!! Vanguard Divinez Season 2,['TV'],13,Finished Airing,"Jul 6, 2024 to Oct 12, 2024",['Summer 2024'],Saturdays at 08:00 (JST),['Bushiroad'],"None found,","['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,['Action'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.11,#3847,#11130,"2,508",12,797,"Through his victory with Vanguard at the Fated Clash, Akina has his wish for the health of his sister Hikari fulfilled. Gabwelius, who assembled the owners of the Fated One cards, reveals the truth behind the Fated Clash. Another plush toy Sybilt has appeared as well, gathering the 6 owners of Destined One cards, and announcing the start of the “Destined Showdown” where the winner can have their wish fulfilled. Thus begins the fierce bout where motives and intentions cross, of Fate vs Destiny! (Source: cf-vanguard.com)","['Prequel (TV) Cardfight!! Vanguard: Divinez', 'Sequel (TV) Cardfight!! Vanguard: Divinez Deluxe-hen']",Cardfight!! Vanguard: Divinez Season 2,,['Strategy Game'],,,,
49,,まぁるい彼女と残念な彼氏,,['TV'],6,Finished Airing,"Jun 8, 2024 to Jul 13, 2024",['Summer 2024'],Saturdays at 01:56 (JST),"None found,","None found,",['Imageworks Studio'],['Web manga'],,,,11 min. per ep.,PG-13 - Teens 13 or older,[],#17436,#11485,"2,261",13,,"The romantic comedy follows Mariko, a plus-sized nurse who loves to eat. Having no love experience, she thinks her life is devoid of love, until she meets a handsome man named Nagi at a group date that she is invited to. Nagi then asks her out on a date. (Source: ANN)","['Sequel (TV) Maarui Kanojo to Zannen na Kareshi 2nd Season', '']",Maarui Kanojo to Zannen na Kareshi,"['Comedy', 'Romance']",['Adult Cast'],,,,
50,,エグミレガシー,,['TV'],12,Finished Airing,"Jul 9, 2024 to Sep 24, 2024",['Summer 2024'],Tuesdays at 22:30 (JST),"['Happinet Phantom Studios', 'Frontier International', 'Chuo Eigaboeki', 'Odessa Entertainment', 'Masaka']","None found,",['Studio Outrigger'],Card game,,,,10 min. per ep.,PG-13 - Teens 13 or older,6.69,#5953,#12375,"1,699",11,697,"Floating in a certain ocean is an island called ""EGU Island."" The sole entertainment on this island is listening to the songstress, ""End of the World."" Day after day, the islanders are enchanted by her singing. However, this tranquil time is shattered in an instant. Since the disappearance of the songstress, the island has been filled with ""anger,"" ""doubt,"" and ""anxiety."" Various thoughts and intentions begin to stir...A licking war unfolds around, ""End of the World!"" The one who holds her destiny is the legendary legacy ""EGUMI Legacy."" (Source: Ani-One Asia)",[],Egumi Legacy,"['Avant Garde', 'Comedy']",['Anthropomorphic'],,,,
51,Moriarty's Perfect Crime,未来の黒幕系悪役令嬢モリアーティーの異世界完全犯罪白書,,['TV'],6,Finished Airing,"Jul 19, 2024 to Aug 30, 2024",['Summer 2024'],Fridays at 01:56 (JST),"None found,","None found,",['Imageworks Studio'],['Web manga'],['Mystery'],"['Detective', 'Reincarnation']",,10 min. per ep.,PG-13 - Teens 13 or older,[],#17835,#12324,"1,733",5,,"After suffering a crushing defeat against a legendary detective, James Moriarty is reincarnated as a ghost in another world. He wakes up in the body of Sherry Moriarty—a severely bullied student from the elitist All Blue Academy—and manages to save the young woman, who was attempting to take her own life. Although James has forgotten his name and past, he has retained his criminal expertise and is determined to help Sherry get revenge against Porgrette Whey Cochon and the other noblewomen who have made Sherry's existence miserable. The bullies of All Blue Academy will learn the hard way that when two Moriartys unite to commit the perfect crime, no one can stand in their way. [Written by MAL Rewrite]",[],Mirai no Kuromaku-kei Akuyaku Reijou Moriarty no Isekai Kanzen Hanzai Hakusho,,,,,,
52,,ななし怪談 第3作,,['TV'],5,Finished Airing,"Aug 26, 2024 to Aug 30, 2024",['Summer 2024'],Not scheduled once per week,['Shogakukan-Shueisha Productions'],"None found,","None found,",Original,,,,6 min. per ep.,G - All Ages,[],#18078,#14162,"1,026",0,,Third season of Nanashi Kaidan.,"['Prequel (TV) Nanashi Kaidan 2nd Season', '']",Nanashi Kaidan 3rd Season,"['Horror', 'Supernatural']",,,,,
53,,용이산다,The Dragon Next Door,['TV'],Unknown,Currently Airing,"Aug 27, 2024 to ?",['Summer 2024'],Unknown,"None found,","None found,","None found,",['Web manga'],,,,Unknown,PG-13 - Teens 13 or older,[],#16072,#15566,690,1,,"Meet my neighbor—a typical fantasy novelist, more than a little scatterbrained, likes to gossip, borrow things without asking, and play MMORPGs. Oh, and by the way, he's a dragon in disguise named Dragon Kim. (Source: MU)","['Adaptation (Manhwa) The Dragon Next Door', '']",Yongisanda,"['Comedy', 'Fantasy']",,,,,
54,,直江くんは痩せさせたい。,,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 01:30 (JST),"None found,","None found,",['AQUA ARIS'],['Manga'],,,,11 min. per ep.,PG-13 - Teens 13 or older,5.43,#12332,#15794,654,1,213,Naoe-kun wa Yasesasetai. is a weekly mini anime shown with each Elf-san wa Yaserarenai. episode exclusively on the AT-X broadcast of the TV anime. They are also released separately from the series on streaming services.,"['Sequel (ONA) Naoe-kun wa Yasesasetai. (ONA)', '']",Naoe-kun wa Yasesasetai.,"['Comedy', 'Fantasy']",,,,,
55,,ジェオチャム,,['TV'],24,Finished Airing,"Jul 13, 2024 to Dec 21, 2024",['Summer 2024'],Saturdays at 06:00 (JST),['Sanrio'],"None found,",['Fanworks'],Original,['Slice of Life'],,,1 min. per ep.,G - All Ages,[],#16632,#16655,540,2,,"The first animation of Sanrio character ""JOCHUM"" jointly developed by Sanrio and JO1. 11 friends living in the share house ""JOCHUM'S HOUSE"" where dreams are said to come true if you live in this house. Everyone has a dream and is fighting hard towards their dreams every day while living a leisurely life today!",[],Jochum,,['Anthropomorphic'],,,,
56,"Stick It on Around! Koinu 2nd Season, Hari Maware! Koinu 2nd Season",貼りまわれ! こいぬ 第2期,,['TV'],12,Finished Airing,"Jul 6, 2024 to Sep 26, 2024",['Summer 2024'],Saturdays at 07:00 (JST),['Pierrot'],"None found,",['Opera House'],['Web manga'],['Comedy'],,,4 min. per ep.,G - All Ages,[],#21065,#17503,456,0,,Second season of Harimaware! Koinu.,"['Prequel (TV) Harimaware! Koinu', 'Adaptation (Manga) Harimaware! Koinu']",Harimaware! Koinu 2nd Season,,['Anthropomorphic'],,,,
57,,現代誤訳,Modern Mistranslation,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 00:00 (JST),"None found,","None found,",['ILCASHIPS'],Original,['Comedy'],,,12 min. per ep.,PG-13 - Teens 13 or older,[],#20775,#18018,416,0,,"The series focuses on teaching students famous quotations from historical figures from all over the world by presenting the quotations incorrectly at first as ""mistranslations"" in the ""modern day,"" encouraging the students to learn the correct quotes in the process. (Source: Crunchyroll)",[],Gendai Goyaku,,,,,,
58,Good Morning Mr. Poop!,おはよう！ うんこ先生,,['TV'],Unknown,Currently Airing,"Jul 26, 2024 to ?",['Summer 2024'],Fridays at 16:00 (JST),"None found,","None found,","None found,",['Manga'],['Comedy'],,,2 min.,PG - Children,[],#18306,#20737,242,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ohayou! Unko-sensei,,,,,,
59,,笑うレッドリスト,,['TV'],Unknown,Currently Airing,"Aug 14, 2024 to ?",['Summer 2024'],Unknown,['NHK'],"None found,","None found,",Original,['Comedy'],,,5 min.,G - All Ages,[],#15240,#21086,223,0,,"Endangered animals complain about humans! The animals' complaints reveal the relationship between nature and humans! (Source: NHK, translated)",[],Warau Red List,,['Educational'],,,,
